[4####]
9 8 0   145.0  145.0
 2312999.4290002.980E-046 1.315E-07.06380.070 7293.84200.710.000000                                                el  55      135540314210 9 8 0   111.0  111.0
 2212999.4290001.420E-049 1.255E-06.06470.071 9689.36000.720.000000                                                el  53      135540314210 9 8 0   214.0  214.0
 2212999.4290005.690E-073 1.919E-04.06530.07221799.61400.720.000000                                                el  51      135540314210 9 8 0   206.0  206.0
 2412999.4290002.190E-070 4.273E-03.06640.07720473.15300.750.000000                                                el  43      136550314210 9 8 0   522.0  522.0
 2412999.4290001.850E-043 3.630E-09.06810.086 4782.12600.750.000000                                                el  32      136650314210 9 8 0   390.0  390.0
 2312999.4290002.690E-056 3.418E-04.06680.08013604.78200.750.000000                                                el  40      136650314210 9 8 0    81.0   81.0
 2312999.4290002.620E-069 8.102E-03.05980.06720515.34500.680.000000                                                el  64      135540314210 9 8 0   129.0  129.0
 2412999.4300005.230E-050 8.777E-06.05790.065 9660.42100.650.000000                                                el  75      135540314210 9 8 0   906.0  906.0
 2112999.4300003.320E-073 8.916E-04.05980.06723197.83100.680.000000                                                el  64      135540314210 9 8 0   129.0  129.0
 2112999.4300003.960E-074 2.653E-03.05830.06523883.61700.660.000000                                                el  72      135540314210 9 8 0   145.0  145.0
 2112999.4300006.580E-057 1.512E-04.06270.07015089.23500.700.000000                                                el  57      135540314210 9 8 0   115.0  115.0
 2412999.4300003.740E-068 1.262E-03.06830.08719098.30900.750.000000                                                el  31      136650314210 9 8 0   378.0  378.0
 2312999.4300005.460E-048 4.151E-07.05890.066 8396.51500.670.000000                                                el  68      135540314210 9 8 0   137.0  137.0
 2212999.4310001.270E-044 4.936E-06.06880.088 7503.10300.740.000000                                                el  29      136650314210 9 8 0   118.0  118.0
 2212999.4310008.210E-074 3.778E-04.05780.06522418.68200.650.000000                                                el  76      135540314210 9 8 0   306.0  306.0
 2212999.4310002.510E-072 1.979E-04.06590.07421488.27700.730.000000                                                el  48      135550314210 9 8 0   194.0  194.0
 2412999.4310001.790E-053 1.614E-04.06720.08211757.21200.760.000000                                                el  37      136650314210 9 8 0   450.0  450.0
 2412999.4310005.850E-072 1.308E-02.06530.07221483.30400.720.000000                                                el  51      135540314210 9 8 0   618.0  618.0
 2412999.4310006.860E-044 1.471E-10.06850.088 4313.70800.750.000000                                                el  30      136650314210 9 8 0   366.0  366.0
 2412999.4320009.340E-058 2.650E-05.05780.06513560.76500.650.000000                                                el  76      135540314210 9 8 0   918.0  918.0
 2112999.4320005.690E-039 2.465E-10.05700.064 3927.52500.650.000000                                                el  83      134540314210 9 8 0   167.0  167.0
 2112999.4320009.570E-069 6.105E-05.05760.06420573.99800.650.000000                                                el  78      135540314210 9 8 0   157.0  157.0
 2112999.4320001.180E-044 5.144E-07.07170.096 7903.18400.700.000000                                                el  20      136650314210 9 8 0    41.0   41.0
 2112999.4320001.190E-049 2.759E-06.06220.06910831.22900.700.000000                                                el  58      135540314210 9 8 0   117.0  117.0
 2212999.4320004.560E-044 3.648E-10.05790.065 5476.45400.650.000000                                                el  75      135540314210 9 8 0   302.0  302.0
 2212999.4320001.080E-045 7.978E-07.06010.068 7792.95100.680.000000                                                el  63      135540314210 9 8 0   254.0  254.0
 2412999.4320005.380E-052 5.738E-05.06080.06810946.07100.690.000000                                                el  61      135540314210 9 8 0   738.0  738.0
 2212999.4320003.110E-065 4.158E-06.05560.06217479.37600.650.000000                                                el  98      134440314210 9 8 0   394.0  394.0
 2312999.4320002.110E-058 1.450E-04.06380.07014490.51600.710.000000                                                el  55      135540314210 9 8 0   111.0  111.0
 2112999.4330002.800E-045 5.893E-08.05810.065 8016.08200.660.000000                                                el  73      135540314210 9 8 0   147.0  147.0
 2212999.4330001.240E-051 8.292E-05.06700.08111459.13200.760.000000                                                el  38      136650314210 9 8 0   154.0  154.0
 2312999.4330001.160E-049 2.051E-06.06220.069 9485.04200.700.000000                                                el  58      135540314210 9 8 0   117.0  117.0
